Date,Albany,Allegany,Broome,Cattaraugus,Cayuga,Chautauqua,Chemung,Chenango,Clinton,Columbia,Cortland,Delaware,Dutchess,Erie,Essex,Franklin,Fulton,Genesee,Greene,Hamilton,Herkimer,Jefferson,Livingston,Madison,Monroe,Montgomery,Nassau,Niagara,New York City,Oneida,Onondaga,Ontario,Orange,Orleans,Oswego,Otsego,Putnam,Rensselaer,Rockland,Saratoga,Schenectady,Schoharie,Schuyler,St. Lawrence,Steuben,Suffolk,Sullivan,Tioga,Tompkins,Ulster,Warren,Washington,Wayne,Westchester,Wyoming,tot_pos,Lewis,Seneca
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,
2020-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,11,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,
2020-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,
2020-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,12,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,
2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,19,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,
2020-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729,,
2020-03-16,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,,
2020-03-17,7,,,,,,,,,,,,,20,,,,,,,,,,,,,131,,644,,,,,,,,,,,,,,,,,,,,,,,,,380,,1700,,
2020-03-18,36,,,,,,,,,,,,,27,,,,,,,,,,,,,183,,"1,339",,,,,,,,,,,,,,,,,,,,,,,,,538,,2382,,
2020-03-19,43,,,,,,,,,,,,,29,,,,,,,,,,,,,372,,"2,469",,,,,,,,,,,,,,,,,,,,,,,,,798,,4152,,
2020-03-20,61,,,,,,,,,,,,,31,,,,,,,,,,,,,754,,"4,408",,,,,,,,,,,,,,,,,,,,,,,,,"1,091",,7102,,
2020-03-21,88,,,,,,,,,,,,,56,,,,,,,,,,,,,"1,234",,"6,211",,,,,,,,,,,,,,,,,,,,,,,,,"1,387",,10356,,
2020-03-22,100,,,,,,,,,,,,,64,,,,,,,,,,,,,2000,,"8,500",,,,,,,,,,,,,,,,,,,,,,,,,2500,,14000,,
2020-03-23,127,,,,,,,,,,,,,96,,,,,,,,,,,,,"2,442",,"12,305",,,,,,,,,,,,,,,,,,,,,,,,,"2,894",,20000,,
2020-03-24,146,,,,,,,,,,,,,121,,,,,,,,,,,,,"2,869",,"14,904",,,,,,,,,,,,,,,,,,,,,,,,,"3,891",,"25,665",,
2020-03-25,152,,,,,,,,,,,,,134,,,,,,,,,,,,,"3,285",,"17,856",,,,,,,,,,,,,,,,,,,,,,,,,"4,691",,"30,811",,
2020-03-26,171,2,16,2,1,1,7,3,11,13,2,7,190,146,4,1,1,4,5,2,7,3,3,9,139,5,3914,14,21393,13,83,11,751,2,4,3,94,32,1197,73,62,2,2,,11,2735,53,2,22,78,2,4,8,5944,7,37258,,
2020-03-29,195,2,23,1,2,5,12,8,12,22,5,8,262,318,4,4,1,7,7,2,9,6,5,19,192,5,5537,33,29766,23,129,16,1101,3,7,7,131,38,1896,96,72,5,1,8,13,4138,72,4,45,128,13,6,12,7875,7,52318,,
2020-03-31,226,7,38,6,3,6,20,19,21,30,8,16,484,438,4,9,1,10,16,2,12,12,13,41,292,7,8544,42,43139,40,194,22,1556,6,15,18,186,41,2863,108,85,6,2,30,24,6713,109,7,66,211,18,10,19,9967,9,75795,2,2
