Name,Population,Sq Mi,Zip Code,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,7/6/2020,7/7/2020,7/9/2020,7/10/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/23/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020
Akron,9549,59.61,14001,34,35,36,37,37,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
Alden,12851,46.68,14004,61,61,61,61,61,61,61,61,61,61,61,64,64,64,64,65,65,66,66,67,69,69,69,69,69,70,70,71,71,72,72,72
Angola,10113,28.86,14006,17,17,17,17,17,17,17,17,17,17,17,18,18,19,19,19,19,23,25,25,27,29,29,29,29,30,30,30,30,30,30,30
Basom,1923,41.17,14013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston,3060,23.54,14025,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12
Bowmansville,910,0.79,14026,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Chaffee,1867,20.9,14030,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Clarence,10145,20.83,14031,76,76,76,78,78,78,78,78,78,79,79,79,79,80,80,80,80,81,82,83,84,84,84,84,84,84,84,84,84,84,84,84
Clarence Center,8964,25.14,14032,35,35,35,35,35,35,35,35,35,35,35,40,40,41,42,42,42,43,43,44,44,45,45,47,47,47,48,50,50,50,50,50
Colden,2396,19.96,14033,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Collins,1922,26.0,14034,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cowlesville,1081,17.91,14037,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Depew,25714,9.15,14043,92,95,96,98,98,98,99,99,99,100,100,100,100,103,104,104,104,106,106,106,108,110,110,110,110,112,113,115,115,117,117,117
Derby,6463,12.32,14047,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19
East Amherst,20690,16.19,14051,78,79,79,79,79,79,81,81,81,81,81,84,84,88,88,88,88,94,95,97,100,102,102,103,103,107,109,111,111,114,114,115
East Aurora,17482,62.71,14052,240,242,242,243,243,243,243,243,243,243,245,245,245,248,248,248,248,249,249,249,250,250,250,252,252,252,252,253,253,253,253,253
East Concord,1312,29.7,14055,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eden,7934,48.1,14057,17,17,19,19,19,19,19,19,19,21,21,21,21,21,21,21,21,21,26,28,31,32,32,34,34,34,34,34,34,34,34,34
Elma,9381,26.72,14059,34,34,34,34,34,34,34,34,34,34,34,39,39,39,39,39,39,39,39,41,43,45,45,47,47,47,48,48,48,48,48,48
Getzville,8374,3.8,14068,175,175,177,179,180,180,182,182,182,183,183,183,183,184,184,184,184,186,186,186,188,188,188,188,188,190,190,191,191,191,191,192
Glenwood,678,5.42,14069,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Gowanda,7706,44.41,14070,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14,14,14,14,14,14,14,15
Grand Island,20809,33.26,14072,82,84,84,87,89,89,91,91,91,94,94,94,94,95,95,95,95,105,109,111,111,116,116,117,117,119,120,124,124,126,126,129
Hamburg,43111,38.97,14075,209,210,210,210,210,210,210,210,210,210,210,220,220,225,232,232,232,239,239,243,247,252,252,256,256,256,257,258,258,260,260,261
Holland,4460,50.61,14080,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,22,22,23,23,23,23,23
Irving,3204,40.63,14081,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Lake View,7831,6.43,14085,19,19,19,19,19,19,19,19,19,19,19,23,23,23,23,23,23,23,24,25,26,28,28,31,31,33,34,34,34,36,36,36
Lancaster,33960,35.48,14086,182,183,183,184,184,184,185,185,185,188,196,196,196,198,199,199,199,206,208,209,213,213,213,215,215,218,220,221,221,223,223,224
Lawtons,1086,22.21,14091,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Marilla,1244,4.86,14102,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9
North Collins,3482,32.93,14111,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,15
Orchard Park,30810,40.39,14127,198,198,198,200,200,200,200,200,200,201,201,202,202,202,203,203,203,209,210,211,215,217,217,219,219,223,224,228,228,230,230,232
Sardinia,139,2.42,14134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
